id,prices,date,market_caps
elrond-erd-2,137.6250153941002,2021-02-09,2362626307.820301
elrond-erd-2,162.35229323717303,2021-02-10,2789589771.0431724
elrond-erd-2,145.56656242855735,2021-02-11,2475194459.6538568
elrond-erd-2,128.93662412978324,2021-02-12,2230642342.354957
elrond-erd-2,139.80398537618413,2021-02-13,2387416780.07709
elrond-erd-2,131.93898177072194,2021-02-14,2275041949.0247984
elrond-erd-2,127.46634290252324,2021-02-15,2191623735.905602
elrond-erd-2,115.29971029782565,2021-02-16,1977218367.0547993
elrond-erd-2,113.40849842702302,2021-02-17,1945522916.2330892
elrond-erd-2,120.47709791844025,2021-02-18,2031028845.6663291
elrond-erd-2,126.24728426918561,2021-02-19,2170858729.5094357
elrond-erd-2,117.55833104878158,2021-02-20,2026024637.2418618
elrond-erd-2,115.66541356302584,2021-02-21,1973252528.4292247
elrond-erd-2,115.82462964009737,2021-02-22,1991849864.5301712
elrond-erd-2,104.65251463443889,2021-02-23,1793519854.876809
elrond-erd-2,90.23961973865465,2021-02-24,1543706637.5837173
elrond-erd-2,95.92959983864397,2021-02-25,1655754170.7982044
elrond-erd-2,93.98973331537644,2021-02-26,1625016594.2608912
elrond-erd-2,101.78204233317757,2021-02-27,1751423959.8247764
elrond-erd-2,113.7139542858925,2021-02-28,1940083091.238255
elrond-erd-2,107.20716279269033,2021-03-01,1854511517.2914047
elrond-erd-2,115.27149274563497,2021-03-02,1993702818.936405
elrond-erd-2,111.2867897522618,2021-03-03,1926150010.8082364
elrond-erd-2,118.00281694857452,2021-03-04,2041461804.7668445
elrond-erd-2,126.49233632577153,2021-03-05,2193093989.9869885
elrond-erd-2,119.16935722127825,2021-03-06,2054600224.0744336
elrond-erd-2,115.87879641957178,2021-03-07,2003178444.8553035
elrond-erd-2,122.82333650239859,2021-03-08,2125721813.5281544
elrond-erd-2,124.26966499511055,2021-03-09,2143512110.44067
elrond-erd-2,133.69685338498596,2021-03-10,2304338550.990912
elrond-erd-2,126.69994913910932,2021-03-11,2197420812.377416
elrond-erd-2,124.8404789646175,2021-03-12,2161312053.948695
elrond-erd-2,117.3173523893856,2021-03-13,2040156330.9330356
elrond-erd-2,117.74024797429459,2021-03-14,2043463687.1197562
elrond-erd-2,111.30937099337483,2021-03-15,1941497074.4907517
elrond-erd-2,109.87241808385875,2021-03-16,1911897884.8847773
elrond-erd-2,110.07145741098665,2021-03-17,1902097620.4040072
elrond-erd-2,114.2611672035447,2021-03-18,1985135333.9079804
