date,000001_ss,399001_sz,imoex_me,aord,axjo,bfx,bsesn,buk100p,bvsp,dji,fchi,ftse,gdaxi,gspc,gsptse,hsi,ipsa,ixic,jkse,jn0u_jo,klse,ks11,merv,mxx,n100,n225,nya,nz50,rut,sti,stoxx50e,ta125_ta,twii,vix,xax
2020-07-17,3214.12890625,13114.9404296875,2774.7900390625,6144.89990234375,6033.60009765625,3491.159912109375,37020.140625,626.6900024414062,102888.0,26671.94921875,5069.419921875,6290.2998046875,12919.6103515625,3224.72998046875,16123.5,25089.169921875,,10503.1904296875,5079.5849609375,3322.780029296875,1596.3299560546875,2201.18994140625,45475.23828125,36327.83984375,1006.219970703125,22696.419921875,12402.740234375,,1473.3199462890625,2618.47998046875,3365.60009765625,,12181.5595703125,25.68000030517578,2037.8900146484373
2020-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,11553.16015625,,,,,,,
2020-07-20,3314.14892578125,13448.849609375,2802.239990234375,6112.2998046875,6001.60009765625,3526.909912109375,37418.98828125,623.8499755859375,104426.0,26680.869140625,5093.18017578125,6261.5,13046.919921875,3251.840087890625,16183.7001953125,25057.990234375,,10767.08984375,5051.10595703125,3343.10009765625,1589.449951171875,2198.199951171875,45682.98828125,36323.69140625,1012.8099975585938,22717.48046875,12392.98046875,11736.73046875,1467.949951171875,2616.300048828125,3388.340087890625,1385.949951171875,12174.5400390625,24.459999084472656,2025.030029296875
2020-07-21,3320.89501953125,13536.169921875,2825.7099609375,6268.7998046875,6156.2998046875,3553.27001953125,37930.328125,624.5700073242188,104310.0,26840.400390625,5104.27978515625,6269.7001953125,13171.830078125,3257.300048828125,16163.0,25635.66015625,,10680.3603515625,5114.708984375,3395.18994140625,1595.9300537109375,2228.830078125,46781.26171875,36881.671875,1017.7899780273438,22884.220703125,12508.6796875,11722.9697265625,1487.510009765625,2629.449951171875,3405.35009765625,1409.3800048828125,12397.5498046875,24.84000015258789,2109.330078125
2020-07-22,3333.1640625,13657.0302734375,2834.64990234375,6192.60009765625,6075.10009765625,3501.64990234375,37871.51953125,618.719970703125,104290.0,27005.83984375,5037.1201171875,6207.10009765625,13104.25,3276.02001953125,16171.099609375,25057.939453125,,10706.1298828125,5110.18701171875,3364.5400390625,1586.97998046875,2228.659912109375,48634.08984375,37447.1015625,1003.7899780273438,22751.609375,12569.0703125,11693.41015625,1490.1400146484375,2594.530029296875,3370.760009765625,1398.8900146484375,12473.26953125,24.31999969482422,2090.820068359375
2020-07-23,3325.110107421875,13661.5,2851.7900390625,6213.89990234375,6094.5,3492.06005859375,38140.46875,619.3300170898438,102293.0,26652.330078125,5033.759765625,6211.39990234375,13103.3896484375,3235.659912109375,16018.7001953125,25263.0,,10461.419921875,5145.009765625,3357.659912109375,1606.4200439453125,2216.18994140625,48408.26953125,37433.30078125,1005.27001953125,,12510.8701171875,11636.259765625,1490.199951171875,2612.35009765625,3371.739990234375,1391.9599609375,12413.0400390625,26.07999992370605,2080.830078125
2020-07-24,3196.76806640625,12935.7001953125,2863.1201171875,6148.0,6024.0,3435.429931640625,38128.8984375,610.4099731445312,102382.0,26469.890625,4956.43017578125,6123.7998046875,12838.0595703125,3215.6298828125,15997.099609375,24705.330078125,,10363.1796875,5082.9912109375,3303.77001953125,1589.6099853515625,2200.43994140625,48605.05859375,37357.4609375,986.9500122070312,,12461.7802734375,,1467.550048828125,2579.510009765625,3310.889892578125,,12304.0400390625,25.84000015258789,2067.550048828125
2020-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,11585.6201171875,,,,,,,
2020-07-27,3205.22705078125,12976.8701171875,2884.8798828125,6169.60009765625,6044.2001953125,3407.4599609375,37934.73046875,609.1199951171875,104477.0,26584.76953125,4939.6201171875,6104.89990234375,12838.66015625,3239.409912109375,16161.2998046875,24603.259765625,,10536.26953125,5116.666015625,3402.7099609375,1591.47998046875,2217.860107421875,49449.859375,37742.140625,983.7000122070312,22715.849609375,12553.1298828125,11578.26953125,1484.6500244140625,2575.7900390625,3302.840087890625,1376.1099853515625,12588.2998046875,24.739999771118164,2087.820068359375
2020-07-28,3227.9599609375,13147.349609375,2895.449951171875,6146.7998046875,6020.5,3436.699951171875,38492.94921875,611.489990234375,104109.0,26379.279296875,4928.93994140625,6129.2998046875,12835.2802734375,3218.43994140625,16121.2998046875,24772.759765625,,10402.08984375,5112.98876953125,3380.110107421875,1609.93994140625,2256.989990234375,48934.44140625,37771.2109375,984.9000244140624,22657.380859375,12491.2197265625,11599.4404296875,1469.760009765625,2582.969970703125,3303.56005859375,1379.6700439453125,12586.73046875,25.440000534057617,2063.7900390625
2020-07-29,3294.552001953125,13557.4404296875,2918.419921875,6128.0,6006.39990234375,3405.6201171875,38071.12890625,611.6599731445312,105605.0,26539.5703125,4958.740234375,6131.5,12822.259765625,3258.43994140625,16294.7001953125,24883.140625,,10542.9404296875,5149.6298828125,3397.77001953125,1611.4200439453125,2263.159912109375,48884.4609375,37720.83984375,987.0900268554688,22397.109375,12669.6201171875,11692.01953125,1500.6300048828125,2573.449951171875,3300.159912109375,1383.6400146484375,12540.9697265625,24.100000381469727,2091.0400390625
